City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,copiapo,-27.3667,-70.3333,288.98,26,0,3.56,CL,1696101638
209,saudarkrokur,65.7461,-19.6394,278.57,75,95,1.59,IS,1696101638
210,toliara,-23.35,43.6667,296.72,78,3,3.02,MG,1696101638
211,kerikeri,-35.2268,173.9474,280.32,92,3,2.12,NZ,1696101638
212,skelleftea,64.7507,20.9528,284.82,100,100,4.12,SE,1696101638
213,amarpur,25.0333,86.9,297.92,96,100,3.62,IN,1696101638
214,vatutine,49.015,31.0621,290.49,42,1,2.05,UA,1696101639
215,el alto,-4.2714,-81.2147,298.96,74,49,7.41,PE,1696101639
216,bloemfontein,-29.1211,26.214,291.86,14,100,4.12,ZA,1696101639
217,nova vicosa,-17.8919,-39.3719,296.89,78,95,5.03,BR,1696101639
218,tobelo,1.7284,128.0095,298.62,79,100,2.34,ID,1696101627
219,murun-kuren,49.6342,100.1625,277.29,59,47,1.49,MN,1696101424
220,hammerfest,70.6634,23.6821,280.4,100,100,3.6,NO,1696101640
221,mugia,43.1041,-9.2179,296.02,81,0,2.02,ES,1696101640
222,laojunmiao,39.8333,97.7333,283.14,23,100,3.47,CN,1696101640
223,ad dilam,23.9915,47.1627,304.38,14,0,4.04,SA,1696101640
224,gadzhiyevo,69.2551,33.3362,280.65,95,92,3.64,RU,1696101640
225,meulaboh,4.1363,96.1285,299.02,89,64,1.13,ID,1696101640
226,miles city,46.4083,-105.8406,296.69,49,0,5.14,US,1696101641
227,oyama,36.3,139.8,299.59,85,100,0.77,JP,1696101542
228,broken hill,-31.95,141.4333,293.49,14,4,5.82,AU,1696101641
229,prince rupert,54.3161,-130.3201,283.2,87,0,1.54,CA,1696102218
230,souillac,-20.5167,57.5167,296.36,78,40,5.14,MU,1696101436
231,wewak,-3.5534,143.6268,299.07,87,99,3.56,PG,1696101641
232,pingliang,35.5392,106.6861,284.8,72,100,1.46,CN,1696101642
233,funafuti,-8.5243,179.1942,302.15,89,75,1.03,TV,1696101642
234,tenno,39.9,139.9667,294.03,82,100,6.95,JP,1696101642
